feature,importance_mean,importance_std
pm25,0.09888998609406642,0.009552971182189438
pm25_roll_max_3h,0.03230547969784381,0.0022297038840971223
pm25_lag_1h,0.025373661664574,0.0017093655595618858
pm25_roll_max_6h,0.02100892311892144,0.0010285533295376103
pm25_lag_6h,0.019469226289857384,0.0003073046274968181
lon,0.019076703293250896,0.00241633291677563
pm25_lag_24h,0.016793867675220193,0.0007872628627867568
pm10_lag_1h,0.015507100819076766,0.0010492287474440129
pm25_roll_max_24h,0.014436627762713816,0.007356945025163949
pm25_roll_min_3h,0.01425244345974136,0.002484501069892914
pm25_lag_12h,0.012969675605419098,0.00174475972484076
pm25_roll_mean_3h,0.011743852699960478,0.0019092500696502633
pm25_roll_mean_6h,0.008725074084599957,0.006695434052013618
pm10_lag_24h,0.008682652674146881,0.0017357850416050073
pm25_roll_min_6h,0.008234512414854936,0.0005206112454437867
pm25_roll_mean_24h,0.007993329894909177,0.004055785913461459
month_cos,0.00715310012193839,0.001793417841465675
so2_lag_6h,0.007128779223234849,0.001279815233107039
pm25_roll_std_6h,0.006722283514564553,0.002365502920609891
pm10_roll_mean_3h,0.006284461543003124,0.0040502354576416825
pm1,0.0062282030573322196,0.002317788891968129
dow_cos,0.006108949664461664,0.0018034083584599
hour_sin,0.006042555503467643,0.0029686382036173574
no2,0.005499940637760529,0.002544225268675797
co_lag_1h,0.005457106589687362,0.001600691258107546
um003,0.005393941882103441,0.003962749552671566
dow_sin,0.00523046636935659,0.0027970081835408046
no2_lag_3h,0.004961820541103408,0.00021124620001580083
pm10_roll_max_6h,0.004224302551820158,0.003977798380769375
o3_lag_12h,0.00417580699682966,0.0014942773413924673
pm10_lag_3h,0.004119881723649632,0.0009089940813842351
pm25_outlier_iqr,0.004029178570214694,0.0011212129856225368
co_lag_3h,0.0039163801546432215,0.0004280587668889656
pm10_roll_mean_6h,0.003581537114695369,0.0038992813715437225
pm10_roll_min_6h,0.003441533783708687,0.0005351604462491811
is_weekend,0.0033329369501245063,0.0039474190633243
dist_to_nearest_major_road_km,0.003327396981727367,0.0009160901086757265
rolling_AQI_exceeds_threshold_24h,0.0031728412768419014,0.0018496384222307814
dist_to_nearest_industrial_km,0.002951112950470902,0.0038599095488849556
o3_lag_6h,0.002870778875744625,0.0007932883745349654
pm10,0.0028697737609311527,0.004068671730220351
pm10_roll_std_24h,0.002835789775338086,0.0022217951918471575
pm10_roll_std_3h,0.0028254114352617896,0.0011435565575900742
pm10_roll_min_3h,0.002576719980369143,0.002102473737637477
month,0.002405641627333366,0.0031090684477557444
co_lag_6h,0.00238062603905285,0.0023907985250644346
co_lag_12h,0.0023165401908465575,0.001034127600062646
pm10_roll_mean_24h,0.0020905643617123992,0.0026709675431493794
o3_lag_24h,0.001962358101965193,0.0018927375452767303
so2,0.0017179306950833584,0.00342218682808303
so2_lag_3h,0.0015530604134212551,0.0023883202446893714
lat,0.0013961902372518116,0.002458008712265543
so2_lag_1h,0.0013163250393613362,0.0014065998499866947
hour_cos,0.0011899452243903652,0.0034447108677081112
pm10_lag_6h,0.0007995132033564537,0.002737637697964366
no2_lag_6h,0.00038933820956268034,0.0027908379903772065
pm10_roll_std_6h,0.00036994788252695904,0.0034014850592809166
temp,0.0,0.0
humidity,0.0,0.0
wind_speed_roll_max_24h,0.0,0.0
wind_speed_roll_std_24h,0.0,0.0
wind_speed_roll_mean_24h,0.0,0.0
wind_speed_roll_min_6h,0.0,0.0
humidity_roll_max_6h,0.0,0.0
pm10_sensor_error,0.0,0.0
pm1_sensor_error,0.0,0.0
so2_sensor_error,0.0,0.0
no2_sensor_error,0.0,0.0
pm1_outlier_iqr,0.0,0.0
o3_outlier_iqr,0.0,0.0
o3_sensor_error,0.0,0.0
wind_speed,0.0,0.0
co_sensor_error,0.0,0.0
pm25_sensor_error,0.0,0.0
so2_outlier_iqr,0.0,0.0
temp_lag_6h,0.0,0.0
wind_speed_lag_24h,0.0,0.0
humidity_lag_24h,0.0,0.0
humidity_lag_12h,0.0,0.0
humidity_lag_1h,0.0,0.0
temp_lag_24h,0.0,0.0
humidity_lag_6h,0.0,0.0
humidity_lag_3h,0.0,0.0
wind_speed_sensor_error,0.0,0.0
wind_speed_outlier_iqr,0.0,0.0
humidity_sensor_error,0.0,0.0
humidity_outlier_iqr,0.0,0.0
temp_sensor_error,0.0,0.0
um003_outlier_iqr,0.0,0.0
temp_outlier_iqr,0.0,0.0
um003_sensor_error,0.0,0.0
wind_speed_roll_max_3h,0.0,0.0
wind_speed_roll_std_3h,0.0,0.0
wind_speed_roll_min_24h,0.0,0.0
wind_speed_roll_min_3h,0.0,0.0
wind_speed_roll_max_6h,0.0,0.0
humidity_roll_std_6h,0.0,0.0
humidity_roll_mean_6h,0.0,0.0
humidity_roll_min_3h,0.0,0.0
temp_roll_max_24h,0.0,0.0
temp_roll_std_24h,0.0,0.0
humidity_roll_min_6h,0.0,0.0
humidity_roll_mean_24h,0.0,0.0
wind_speed_lag_12h,0.0,0.0
wind_speed_lag_3h,0.0,0.0
wind_speed_lag_1h,0.0,0.0
wind_speed_lag_6h,0.0,0.0
temp_lag_1h,0.0,0.0
temp_lag_12h,0.0,0.0
temp_lag_3h,0.0,0.0
humidity_roll_mean_3h,0.0,0.0
temp_roll_min_6h,0.0,0.0
temp_roll_mean_24h,0.0,0.0
humidity_roll_std_3h,0.0,0.0
humidity_roll_max_3h,0.0,0.0
temp_roll_min_24h,0.0,0.0
temp_roll_std_3h,0.0,0.0
temp_roll_max_3h,0.0,0.0
temp_roll_mean_3h,0.0,0.0
temp_roll_max_6h,0.0,0.0
temp_roll_std_6h,0.0,0.0
temp_roll_mean_6h,0.0,0.0
temp_roll_min_3h,0.0,0.0
humidity_roll_min_24h,0.0,0.0
wind_speed_roll_mean_3h,0.0,0.0
humidity_roll_std_24h,0.0,0.0
humidity_roll_max_24h,0.0,0.0
wind_speed_roll_mean_6h,0.0,0.0
wind_speed_roll_std_6h,0.0,0.0
o3,-3.888885681887129e-06,0.0019055096034160952
hour,-2.097981237135042e-05,0.001789841727870842
pm10_roll_max_3h,-0.00026457726447666935,0.003048437495116589
pm10_outlier_iqr,-0.0003348094362862393,0.0004734920456064903
pm10_roll_min_24h,-0.00042961997106807,0.004013351276141596
no2_outlier_iqr,-0.0005078474454564182,0.0005000138810316243
month_sin,-0.0006484007416731793,0.0023344791605182536
no2_lag_24h,-0.0008822373559796981,0.0031016389501023647
pm25_roll_std_24h,-0.0010679219412438878,0.0018970684614890466
pm25_roll_std_3h,-0.001230505798192394,0.0031834493766556534
co_outlier_iqr,-0.0012450410499791713,4.040211116031347e-05
no2_lag_1h,-0.0014975816012413785,0.0031475366150707502
co,-0.0019763900052788275,0.0012189241220153556
is_dry_season,-0.002311542320729073,0.0013912104426755118
is_rush_hour,-0.0023473763122948132,0.001042475459889423
so2_lag_12h,-0.002492126693624234,0.003785521228865183
dayofweek,-0.0031625324113690643,0.0023706328656696233
so2_lag_24h,-0.0032857773488550826,0.00033046919696606126
o3_lag_3h,-0.003571893648768143,0.0021224956157178845
pm10_roll_max_24h,-0.0050799893777693965,0.001077455878282462
no2_lag_12h,-0.005582261460703101,0.0009975057980820994
pm10_lag_12h,-0.005953017956388658,0.002146141047615732
co_lag_24h,-0.006866075816322463,0.003230505390447664
pm25_lag_3h,-0.009312319371065136,0.003432613401236445
o3_lag_1h,-0.010120565086360278,0.002801290606786974
pm25_roll_min_24h,-0.01605770844421613,0.0036228975197090062
